d_codigo,d_asenta-D_mnpio
1000,"San Ángel, Álvaro Obregón"
1010,"Los Alpes, Álvaro Obregón"
1020,"Guadalupe Inn, Álvaro Obregón"
1030,"Florida, Álvaro Obregón"
1030,"Axotla, Álvaro Obregón"
1040,"Campestre, Álvaro Obregón"
1048,"Las Águilas, Álvaro Obregón"
1049,"Tlacopac, Álvaro Obregón"
1050,"Ex-Hacienda de Guadalupe Chimalistac, Álvaro Obregón"
1060,"Altavista, Álvaro Obregón"
1060,"San Ángel Inn, Álvaro Obregón"
1070,"Chimalistac, Álvaro Obregón"
1080,"Progreso Tizapan, Álvaro Obregón"
1089,"Ermita Tizapan, Álvaro Obregón"
1090,"La Otra Banda, Álvaro Obregón"
1090,"Tizapan, Álvaro Obregón"
1090,"Loreto, Álvaro Obregón"
1100,"Pólvora, Álvaro Obregón"
1109,"La Conchita, Álvaro Obregón"
1110,"Ampliación El Capulín, Álvaro Obregón"
1110,"Belém de las Flores, Álvaro Obregón"
1110,"El Capulín, Álvaro Obregón"
1110,"Liberales de 1857, Álvaro Obregón"
1120,"Acueducto, Álvaro Obregón"
1120,"Hidalgo, Álvaro Obregón"
1120,"Las Américas, Álvaro Obregón"
1120,"Cove, Álvaro Obregón"
1125,"Ampliación Acueducto, Álvaro Obregón"
1130,"Real del Monte, Álvaro Obregón"
1130,"Molino de Santo Domingo, Álvaro Obregón"
1130,"Paraíso, Álvaro Obregón"
1139,"Reacomodo Pino Suárez, Álvaro Obregón"
1140,"José Maria Pino Suárez, Álvaro Obregón"
1140,"Bellavista, Álvaro Obregón"
1150,"Tolteca, Álvaro Obregón"
1150,"Cristo Rey, Álvaro Obregón"
1160,"Bosque, Álvaro Obregón"
1160,"Maria G. de García Ruiz, Álvaro Obregón"
1160,"Isidro Fabela, Álvaro Obregón"
1160,"1a Victoria, Álvaro Obregón"
1170,"Abraham M. González, Álvaro Obregón"
1170,"Santa Fe IMSS, Álvaro Obregón"
1180,"8 de Agosto, Álvaro Obregón"
1180,"Carola, Álvaro Obregón"
1180,"San Pedro de los Pinos, Álvaro Obregón"
1184,"Nelli Campo Bello, Álvaro Obregón"
1200,"Arturo Martínez, Álvaro Obregón"
1210,"Santa Fe, Álvaro Obregón"
1219,"Lomas de Santa Fe, Álvaro Obregón"
1220,"Mártires de Tacubaya, Álvaro Obregón"
1220,"Cuevitas, Álvaro Obregón"
1220,"Bonanza, Álvaro Obregón"
1220,"Zenón Delgado, Álvaro Obregón"
1220,"El Cuernito, Álvaro Obregón"
1220,"La Estrella, Álvaro Obregón"
1230,"Tlapechico, Álvaro Obregón"
1230,"Campo de Tiro los Gamitos, Álvaro Obregón"
1230,"El Piru Santa Fe, Álvaro Obregón"
1230,"Los Gamitos, Álvaro Obregón"
1230,"El Piru 2a Ampliación, Álvaro Obregón"
1239,"La Huerta, Álvaro Obregón"
1240,"Pueblo Nuevo, Álvaro Obregón"
1250,"Margarita Maza de Juárez, Álvaro Obregón"
1250,"Ladera, Álvaro Obregón"
1250,"Lomas de Nuevo México, Álvaro Obregón"
1250,"Tecolalco, Álvaro Obregón"
1250,"El Árbol, Álvaro Obregón"
1259,"La Mexicana 2a Ampliación, Álvaro Obregón"
1259,"Ampliación La Cebada, Álvaro Obregón"
1260,"La Palmita, Álvaro Obregón"
1260,"Liberación Proletaria, Álvaro Obregón"
1260,"Ampliación La Mexicana, Álvaro Obregón"
1260,"Calzada Jalalpa, Álvaro Obregón"
1260,"La Mexicana, Álvaro Obregón"
1269,"2a Sección Cañada, Álvaro Obregón"
1269,"1a Sección Cañada, Álvaro Obregón"
1270,"El Tejocote, Álvaro Obregón"
